CityName,Latitude_x,Temp,Humidity,Cloudiness,WindSpeed,Country,Latitude_y,Long,NorthOrSouth
Kruisfontein,-34.0,71.01,70,15,3.0,ZA,-34.0,24.73,South
Lavrentiya,65.58,32.38,94,94,4.65,RU,65.58,-171.0,North
Marawi,8.0,75.99,92,100,5.01,PH,8.0,124.29,North
East Massapequa,40.67,64.4,82,90,9.17,US,40.67,-73.44,North
New Norfolk,-42.78,42.8,60,40,18.34,AU,-42.78,147.06,South
Gamba,-2.65,78.75,82,99,10.2,GA,-2.65,10.0,South
Pandan,14.05,81.59,83,98,7.07,PH,14.05,124.17,North
Richards Bay,-28.78,73.99,74,53,11.52,ZA,-28.78,32.04,South
Lompoc,34.64,62.6,77,90,0.65,US,34.64,-120.46,North
Busselton,-33.65,61.0,45,63,12.73,AU,-33.65,115.33,South
Hithadhoo,-0.6,83.57,75,24,10.27,MV,-0.6,73.08,South
Jamame,0.07,79.66,80,89,9.22,SO,0.07,42.75,North
Khatanga,71.97,9.63,95,100,16.02,RU,71.97,102.5,North
Hermanus,-34.42,64.99,85,84,4.0,ZA,-34.42,19.23,South
Bata,1.86,82.4,83,40,9.17,GQ,1.86,9.77,North
Koboko,3.41,68.32,92,99,2.86,UG,3.41,30.96,North
Bluff,-46.6,63.0,56,100,14.0,NZ,-46.6,168.33,South
Vaini,-21.2,73.4,83,90,8.05,TO,-21.2,-175.2,South
Kapaa,22.08,77.52,76,2,7.47,US,22.08,-159.32,North
Geraldton,-28.77,62.6,82,0,4.7,AU,-28.77,114.6,South
Nome,64.5,36.0,92,90,12.75,US,64.5,-165.41,North
Angostura,25.37,82.0,82,3,1.01,MX,25.37,-108.18,North
Bathsheba,13.22,87.8,66,20,23.04,BB,13.22,-59.52,North
San Miguel de Tucumán,-26.82,84.2,62,75,5.82,AR,-26.82,-65.22,South
Ribeira Grande,38.52,71.6,78,40,20.8,PT,38.52,-28.7,North
Hobart,-42.88,42.8,60,40,18.34,AU,-42.88,147.33,South
Honiara,-9.43,77.76,79,46,3.71,SB,-9.43,159.95,South
Kavieng,-2.57,81.9,71,3,2.71,PG,-2.57,150.8,South
Saskylakh,71.92,16.86,95,100,23.53,RU,71.92,114.08,North
Hoima,1.44,69.06,93,47,3.18,UG,1.44,31.34,North
Smithers,54.78,10.4,92,20,2.24,CA,54.78,-127.17,North
Cherskiy,68.75,19.33,91,0,7.16,RU,68.75,161.3,North
Nadym,65.53,15.48,96,88,8.19,RU,65.53,72.52,North
Barrow,71.29,28.4,86,90,5.82,US,71.29,-156.79,North
